V1,issue,Dem_quote_text,Repub_quote_text,ideo,pid,ranking1,ranking3,gender,age,race,Repub_both,Repub_quote,Repub_issue,Repub_neither,approval,Dem_both,Dem_quote,Dem_issue,Dem_neither,approval
R_1hE8qJfjeYYUPPt,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Democrat,Health care,Crime,Female,35-44,African American,,,,,,,,1,,Approve strongly
R_2rHNQBarXY596mj,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Republican,Social security,Immigration,Female,55-64,White/Caucasian,,1,,,Disapprove somewhat,,,,,
R_2rOfqXTCGUS9sQa,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Independent,Health care,Terrorism,Male,35-44,Hispanic,1,,,,Neither approve nor disapprove,,,,,
R_28Tdh12fLjKgHv3,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Health care,Education,Male,65 or over,White/Caucasian,,,,,,,,1,,Approve strongly
R_2V1tz8yOf84NPOx,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Health care,Jobs,Male,35-44,White/Caucasian,,,,,,1,,,,Neither approve nor disapprove
R_3hAUJmZqgBdabMf,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Weak Democrat,Health care,Education,Female,65 or over,White/Caucasian,,,,,,1,,,,Approve somewhat
R_21cjc5mMkLJm67k,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Democrat,Environment,National security,Male,55-64,White/Caucasian,,,,,,1,,,,Approve strongly
R_2qwwmteDm943AuW,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Weak Democrat,Social security,Health care,Female,55-64,White/Caucasian,,,,,,1,,,,Approve somewhat
R_aWUC4E2ct7zlsVX,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Lean Democrat,Health care,National security,Female,35-44,White/Caucasian,,,,,,,,1,,Approve somewhat
R_2e4O2xEV23RyaO2,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Health care,Terrorism,Female,65 or over,White/Caucasian,,,1,,Approve strongly,,,,,
R_3sBNWVtP3dOqIOo,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Immigration,Environment,Male,65 or over,Hispanic,,,,,,1,,,,Approve strongly
R_1pEzLnjMq59IbdU,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Lean Democrat,Jobs,Health care,Female,45-54,White/Caucasian,,,,,,,1,,,Approve somewhat
R_1kFjrfL0Y6rrEI8,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Jobs,Jobs,Male,25-34,White/Caucasian,1,,,,Approve strongly,,,,,
R_1jHEgRonM4v8Qjk,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Social security,Terrorism,Female,65 or over,White/Caucasian,,,1,,Disapprove strongly,,,,,
R_2woj0J9lq2xZclh,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Lean Republican,Social security,Drug addiction,Female,65 or over,White/Caucasian,1,,,,Disapprove somewhat,,,,,
R_2rAEXKXTnlsAGRu,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,Education,Education,Male,45-54,White/Caucasian,1,,,,Neither approve nor disapprove,,,,,
R_3GDmjYextyF3ioT,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Jobs,Education,Female,55-64,White/Caucasian,,,,,,1,,,,Approve strongly
R_2R85ZUe6eyXQSA4,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Republican,Immigration,Environment,Female,18-24,White/Caucasian,1,,,,Approve strongly,,,,,
R_3h3GZVZO5LwJhnD,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Health care,Environment,Female,35-44,White/Caucasian,1,,,,Disapprove strongly,,,,,
R_1FLdU85oR8iUj7B,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Health care,Education,Female,35-44,White/Caucasian,,,,,,1,,,,Disapprove somewhat
R_1lADAqDMx7lNyl5,Immigration,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Immigration,Social security,Male,65 or over,White/Caucasian,,1,,,Approve somewhat,,,,,
R_2tAaKFFgqEKURAI,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Republican,Immigration,National security,Male,65 or over,White/Caucasian,,,1,,Approve strongly,,,,,
R_3gRhgxcc0W7JaQa,Immigration,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Immigration,Crime,Female,65 or over,White/Caucasian,,1,,,Disapprove strongly,,,,,
R_3KwLEkJB3TTbpKu,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Independent,National security,Terrorism,Female,65 or over,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_2eVBxTawDQbJ5st,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Social security,Health care,Female,65 or over,White/Caucasian,,,,,,1,,,,Approve somewhat
R_1OE6mOHROMv1OHk,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,National security,Health care,Female,35-44,White/Caucasian,,1,,,Approve strongly,,,,,
R_1FwWqkCv8TPZbRY,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Weak Democrat,Drug addiction,Terrorism,Female,55-64,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_pgWtEzi8FLWbmGR,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Democrat,Social security,Health care,Female,65 or over,African American,,,,,,,,1,,Approve somewhat
R_3EEYcnRf9LFCiWe,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Social security,Health care,Female,65 or over,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_1N8rVfqlZUS3rxM,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Republican,National security,Education,Female,18-24,Asian,,1,,,Disapprove somewhat,,,,,
R_2aEN3RFzfF4KtHL,Terrorism,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,National security,Terrorism,Male,65 or over,White/Caucasian,,,,,,1,,,,Approve somewhat
R_u96Wjn09N7hreRX,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Environment,Social security,Female,65 or over,White/Caucasian,,,,,,,,1,,Approve strongly
R_4YJArsoMCxGVUu5,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Weak Democrat,Environment,Jobs,Female,18-24,White/Caucasian,,,,,,1,,,,Disapprove strongly
R_QgFpNtddud4fhJf,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Not sure,Environment,Drug addiction,Female,35-44,White/Caucasian,,,1,,Neither approve nor disapprove,,,,,
R_56kQiKJGgQYgLbX,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Not Sure,Not sure,Jobs,Social security,Female,35-44,White/Caucasian,,,,1,Approve somewhat,,,,,
R_3jTBfRTKgafzWhc,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Not sure,National security,Jobs,Female,45-54,Hispanic,,,,,,,,,1,Disapprove strongly
R_s6SHuAHUKVq7IZz,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Not Sure,Not sure,Jobs,Crime,Male,45-54,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_zSXSi1rAx8aP3W1,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,National security,Immigration,Male,45-54,White/Caucasian,,,1,,Approve strongly,,,,,
R_1k2oHaeZyf0A95U,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Not Sure,Not sure,Jobs,Social security,Male,35-44,White/Caucasian,1,,,,Approve somewhat,,,,,
R_SQcalN6j0oxLgxb,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,Social security,Terrorism,Female,25-34,Hispanic,,,,,,1,,,,Approve somewhat
R_1OZZfDRXPQ74Jke,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,National security,Health care,Male,45-54,White/Caucasian,,1,,,Approve strongly,,,,,
R_2TTBWKFJuyV7fxL,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Drug addiction,Health care,Female,25-34,White/Caucasian,,,,,,1,,,,Disapprove somewhat
R_25vzG6SwXnqUob1,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Republican,Environment,Education,Male,18-24,African American,,1,,,Approve somewhat,,,,,
R_szJayDyfaeWCLoB,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Republican,National security,Health care,Female,25-34,White/Caucasian,1,,,,Neither approve nor disapprove,,,,,
R_BrB3dQi3o8Tar5v,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Health care,Education,Female,35-44,White/Caucasian,,,,,,,,,1,Approve strongly
R_xA9B6KdNvW9DIul,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Republican,Jobs,Health care,Female,35-44,White/Caucasian,1,,,,Approve strongly,,,,,
R_12L7eVwNWMmMCpk,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Independent,Health care,National security,Male,55-64,White/Caucasian,,,,,,1,,,,Disapprove strongly
R_2wTeuOuUliWCmcb,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Independent,Environment,Social security,Male,55-64,White/Caucasian,1,,,,Neither approve nor disapprove,,,,,
R_1ghwpMynFcp4qGJ,Immigration,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Weak Republican,Immigration,National security,Male,65 or over,White/Caucasian,,,1,,Neither approve nor disapprove,,,,,
R_2xErImUDFAyslCu,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Democrat,Jobs,Health care,Male,45-54,African American,,,,,,1,,,,Approve somewhat
R_2cCPa7uRtRcnG4k,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,National security,Social security,Female,35-44,White/Caucasian,,,,,,1,,,,Approve strongly
R_2E4a6sQCLs2Rwo5,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Education,Jobs,Female,55-64,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_2sXdLCBBokJ9trc,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Weak Republican,Education,Jobs,Female,65 or over,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_2492sptuEeuh9sm,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Health care,Environment,Male,55-64,White/Caucasian,,,,,,1,,,,Approve somewhat
R_1FyigePbA4xG0zD,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Health care,National security,Female,55-64,White/Caucasian,,,,,,1,,,,Approve somewhat
R_1FDqToBDAyUSBmC,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Health care,Immigration,Female,35-44,White/Caucasian,,,,,,1,,,,Approve somewhat
R_4Nm55Mub1QTdYhb,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Health care,Environment,Female,55-64,White/Caucasian,,,,,,1,,,,Approve somewhat
R_2aIw2Et81WaoU4b,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Environment,Immigration,Female,55-64,White/Caucasian,,,,,,,,1,,Approve strongly
R_1OJMOteG1bZuNOr,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Republican,National security,Jobs,Female,25-34,White/Caucasian,,,1,,Neither approve nor disapprove,,,,,
R_3ERCq4IvYMhWuOd,Terrorism,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Lean Republican,National security,Terrorism,Male,45-54,White/Caucasian,,,1,,Neither approve nor disapprove,,,,,
R_XMvOaZOWPQsnV97,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,National security,Terrorism,Male,65 or over,White/Caucasian,,,,1,Approve somewhat,,,,,
R_12PHjXTDqNKXNFp,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Health care,Jobs,Female,25-34,White/Caucasian,,,,,,,,,1,Approve somewhat
R_es8Wdoqk1XvVWqB,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Education,Health care,Female,25-34,White/Caucasian,,,,,,,,1,,Approve somewhat
R_3P7u9rZ8hoFWRNG,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Jobs,Health care,Female,35-44,African American,,,,,,,,1,,Approve somewhat
R_88Fpo9g667WsK1b,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Health care,Social security,Male,45-54,White/Caucasian,,,,,,,,1,,Approve somewhat
R_1gkFmtNxwiN96o5,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Independent,Jobs,Environment,Female,25-34,White/Caucasian,,1,,,Neither approve nor disapprove,,,,,
R_1PZy8TMg0ZZ3OY0,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Health care,Environment,Male,65 or over,White/Caucasian,1,,,,Disapprove somewhat,,,,,
R_QnMn1SzYNA1eVcR,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,National security,Social security,Female,55-64,White/Caucasian,,1,,,Neither approve nor disapprove,,,,,
R_1mgRThXRMJNpCYV,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Republican,Jobs,Health care,Male,35-44,Asian,,,,1,Neither approve nor disapprove,,,,,
R_UhWX9hTixJWNoSR,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Lean Democrat,Jobs,Environment,Female,25-34,White/Caucasian,,,,,,,,,1,Disapprove somewhat
R_2YYaQNSwdCjHeYL,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Terrorism,Jobs,Male,35-44,White/Caucasian,,,,,,1,,,,Neither approve nor disapprove
R_3CP0Bf0KO4xypM9,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Lean Democrat,Health care,Environment,Female,35-44,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_3NEOaTlmfg9PbVW,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Environment,Social security,Female,65 or over,White/Caucasian,,,,,,1,,,,Approve strongly
R_3R1x37Rt4eMjTKv,Drug addiction,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Weak Democrat,Health care,Drug addiction,Female,25-34,African American,,,,,,,,1,,Approve strongly
R_1jvtwQHTg9O6oTI,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Health care,Education,Female,35-44,Hispanic,,,,1,Disapprove strongly,,,,,
R_UZ0xqKsyNRF8z3H,Terrorism,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Environment,Terrorism,Female,65 or over,White/Caucasian,,,,,,,,1,,Approve somewhat
R_2rHDI7X1wnMYUjK,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Republican,Social security,Health care,Male,65 or over,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_3QJJft9WNnF4s2w,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Social security,Environment,Female,25-34,White/Caucasian,,,,,,1,,,,Approve strongly
R_1ojNXmKy2Eg3OUs,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Republican,Social security,National security,Female,65 or over,White/Caucasian,1,,,,Approve somewhat,,,,,
R_xnnksBL6s74pJtf,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Republican,National security,Health care,Female,35-44,White/Caucasian,1,,,,Approve strongly,,,,,
R_2AMSe1YWh9syvMW,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Weak Republican,Health care,National security,Male,55-64,White/Caucasian,1,,,,Approve strongly,,,,,
R_3Vpk8CxBy9ofMQx,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Education,Health care,Male,35-44,Hispanic,1,,,,Approve somewhat,,,,,
R_25MgCfcUkYsuWz1,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Weak Democrat,Health care,Jobs,Female,25-34,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_3O97x5skM65KXZX,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Democrat,Education,Crime,Female,45-54,African American,,,,,,,,1,,Neither approve nor disapprove
R_3IWTFbIyul8U4BK,Terrorism,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Republican,National security,Terrorism,Female,65 or over,White/Caucasian,,,,1,Approve somewhat,,,,,
R_2EzTlDvBrHnQcO9,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Lean Democrat,National security,Health care,Female,35-44,White/Caucasian,,,,,,1,,,,Approve somewhat
R_3h0CCtpItplD5G9,Crime,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Weak Democrat,Terrorism,Crime,Female,65 or over,White/Caucasian,,,,,,,1,,,Disapprove somewhat
R_UYj0ivvFfYznLyN,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Terrorism,Social security,Male,65 or over,White/Caucasian,,,,,,1,,,,Approve somewhat
R_1jjoJS5Eslz6xAU,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Education,Health care,Female,65 or over,White/Caucasian,,,,,,1,,,,Disapprove somewhat
R_bm7GJ9Run8Qh5MR,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Lean Republican,Jobs,Health care,Male,25-34,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_1oiMbeAE9GkKvkI,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Jobs,Crime,Female,25-34,White/Caucasian,1,,,,Approve strongly,,,,,
R_2fiyoOZejXHcqf9,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Independent,Social security,Jobs,Male,55-64,African American,1,,,,Neither approve nor disapprove,,,,,
R_2wS0PVkkkQFgZAR,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Not sure,Health care,Education,Male,35-44,White/Caucasian,1,,,,Approve strongly,,,,,
R_22YyAQKvg1COaHi,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Republican,National security,Health care,Female,65 or over,White/Caucasian,,1,,,Disapprove strongly,,,,,
R_x9PbCC00itlNoT7,Crime,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Lean Democrat,Crime,Drug addiction,Female,18-24,African American,,,,,,,,,1,Approve somewhat
R_3oMAhSr3mVG24ex,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,Jobs,Crime,Male,35-44,White/Caucasian,,1,,,Approve strongly,,,,,
R_31ctCR09ELagQnB,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Republican,Health care,Education,Female,18-24,White/Caucasian,1,,,,Approve somewhat,,,,,
R_UxUDNEDqHf0yU2R,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Lean Republican,Jobs,Environment,Female,35-44,White/Caucasian,,,1,,Neither approve nor disapprove,,,,,
R_3KNo5CoMRa7x5NU,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Republican,Environment,National security,Male,25-34,White/Caucasian,1,,,,Approve somewhat,,,,,
R_eQYMbhEcwaPLIdj,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Weak Democrat,Health care,Jobs,Female,18-24,Hispanic,,,,,,,,1,,Approve strongly
R_tMMtdbUe2bgKEkV,Drug addiction,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,Health care,Drug addiction,Female,65 or over,White/Caucasian,1,,,,Approve somewhat,,,,,
R_3yCyMvCeTSBIYuZ,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Weak Republican,Education,Environment,Female,18-24,White/Caucasian,1,,,,Approve strongly,,,,,
R_25LMacK19FiWpOO,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Social security,Health care,Female,65 or over,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_3QFZ1uknsnk8hYS,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,Jobs,Social security,Male,55-64,Asian,1,,,,Approve somewhat,,,,,
R_2yknHkxUk4iHUEk,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Jobs,Health care,Female,45-54,White/Caucasian,,,,,,1,,,,Neither approve nor disapprove
R_qUa4aJqLvmHNli9,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Health care,Environment,Female,35-44,African American,,,,,,,1,,,Approve strongly
R_2YD2HT5hp4CmcQj,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,National security,Social security,Female,65 or over,White/Caucasian,,,,,,,,1,,Neither approve nor disapprove
R_yjsyd6iorj9ssIV,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,National security,Terrorism,Male,55-64,White/Caucasian,1,,,,Approve somewhat,,,,,
R_2dMDCMHDx4NvSP8,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,National security,Terrorism,Male,65 or over,White/Caucasian,,,1,,Approve somewhat,,,,,
R_2s0E6UQjPVKE9Jq,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,Jobs,Crime,Female,18-24,White/Caucasian,,1,,,Approve strongly,,,,,
R_1Tcf8ZJBycpJVbH,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Democrat,Health care,Social security,Female,55-64,White/Caucasian,,,,,,,,1,,Neither approve nor disapprove
R_9ohHYZCn8fHCU1z,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Health care,Jobs,Female,55-64,African American,,,,,,1,,,,Approve strongly
R_2SAz4sjRm6PTuYj,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Democrat,Jobs,Health care,Female,35-44,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_3L7i7HyiU7EYxHK,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,National security,Education,Male,55-64,White/Caucasian,1,,,,Approve strongly,,,,,
R_20MO5WTRMPtz8Ir,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Republican,Health care,Terrorism,Female,65 or over,White/Caucasian,,1,,,Disapprove somewhat,,,,,
